walk_min_from_nearest_station,construction_area,construction_year,street_width,land_price_estimated,wood,south,west,east,north,price
6,490,2021,6.0,114.75,False,False,False,False,True,420.0
4,85,2023,4.0,24.2,True,False,False,True,False,68.0
8,85,2023,6.2,65.0,True,True,False,False,False,62.0
6,90,2022,3.6,40.5,True,True,False,False,False,60.0
8,55,2022,4.0,18.0,True,False,False,False,True,36.0
2,90,2022,4.0,25.5,True,False,False,True,True,74.0
5,70,2022,2.9,22.95,True,False,False,False,True,49.0
6,80,2021,4.6,33.6,True,True,False,False,False,51.0
2,90,2024,2.3,44.5,True,True,False,False,False,59.0
2,80,2023,3.6,17.75,True,False,False,True,False,64.0
7,60,2023,4.0,14.2,True,True,False,False,False,40.0
7,95,2023,5.0,19.525,True,True,False,False,False,75.0
1,70,2021,3.5,32.25,True,False,False,True,False,46.0
5,85,2021,4.0,32.25,False,True,False,False,False,77.0
7,90,2024,4.0,19.8,True,True,False,False,False,54.0
7,95,2023,4.0,28.7,True,False,False,True,False,68.0
8,55,2023,4.0,27.24375,True,True,False,False,False,43.0
8,95,2022,4.0,52.65,True,False,False,True,False,64.0
9,70,2022,5.5,14.875,True,True,False,False,False,46.0
9,80,2021,5.0,47.1375,True,True,False,False,False,56.0
9,65,2022,4.0,46.66668,True,True,False,True,False,59.0
11,75,2023,2.5,32.8,True,True,True,False,False,56.0
12,65,2023,2.9,24.3,True,True,True,False,False,42.0
14,85,2023,5.0,27.0,True,False,True,False,False,63.0
6,100,2022,3.0,50.69997,True,False,False,False,True,74.0
5,75,2023,3.0,25.349985,True,True,False,True,False,62.0
13,85,2020,9.6,39.43331,False,True,False,True,False,76.0
16,95,2023,4.0,33.79998,True,True,False,True,False,68.0
9,70,2023,4.0,39.43331,True,True,False,True,False,52.0
12,85,2022,3.3,48.51,True,True,False,True,False,60.0
9,80,2022,2.0,64.68,True,True,True,False,False,58.0
8,70,2022,3.4,34.2,True,False,False,False,True,61.0
11,80,2022,4.0,38.0,True,False,False,False,True,63.0
4,75,2023,3.3,38.0,True,False,False,False,True,63.0
17,100,2023,6.0,65.2,True,True,False,True,False,62.0
16,95,2021,5.5,33.6,True,True,False,True,False,58.0
16,80,2021,5.4,40.199985,True,True,False,True,False,55.0
16,75,2021,5.2,35.73332,True,True,True,False,False,55.0
12,100,2021,2.7,66.999975,True,False,True,False,False,53.0
7,60,2021,2.8,34.93332,True,False,True,False,False,42.0
