"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地)","不動産取引価格情報","商業地","13108","東京都","江東区","門前仲町","門前仲町",1,950000000,14000000,220,4300000,"ほぼ長方形",8.5,"店舗","北東","都道",33,"商業",80,600,"2024年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","門前仲町","門前仲町",1,37000000,1400000,85,430000,"長方形",10,"","東","区道",4,"準工業",60,300,"2023年第4四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13108","東京都","江東区","門前仲町","門前仲町",3,53000000,3300000,55,990000,"長方形",6,"住宅","南東","区道",6,"商業",80,400,"2023年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13108","東京都","江東区","門前仲町","門前仲町",1,75000000,1500000,165,460000,"長方形",10,"","東","区道",4,"準工業",60,300,"2023年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","荏原中延",10,58000000,4500000,45,1400000,"ほぼ長方形",5.5,"住宅","北","区道",4.3,"準工業",60,300,"2023年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","荏原中延",11,140000000,3400000,130,1000000,"ほぼ長方形",6.4,"その他","南","区道",7.5,"準工業",60,300,"2021年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","洗足",7,32000000,2000000,50,620000,"ほぼ長方形",4.2,"住宅","北","私道",4,"１低住専",50,100,"2022年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","戸越銀座",5,120000000,4200000,95,1300000,"長方形",7,"その他","南東","区道",7.2,"準工業",60,300,"2022年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","戸越銀座",8,60000000,4300000,45,1300000,"長方形",4.5,"住宅","南東","私道",3,"１種住居",60,300,"2022年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","戸越銀座",10,63000000,5000000,40,1500000,"長方形",4.7,"住宅","南東","区道",4,"準工業",60,300,"2022年第1四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","西小山",8,92000000,4400000,70,1300000,"ほぼ台形",6.3,"住宅","南東","区道",7.2,"１種住居",60,300,"2023年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","西小山",11,71000000,3900000,60,1200000,"長方形",5.7,"住宅","北東","区道",4.3,"準工業",60,300,"2023年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","西小山",8,65000000,4100000,50,1300000,"長方形",4.7,"住宅","南","私道",4,"１種住居",60,300,"2023年第2四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","西小山",9,130000000,2100000,200,640000,"長方形",10.1,"","西","私道",2.7,"準工業",60,300,"2022年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","西小山",10,41000000,4100000,35,1200000,"長方形",3.5,"その他","北西","区道",4.3,"準工業",60,300,"2022年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","西小山",7,80000000,3800000,70,1200000,"ほぼ台形",6.3,"住宅","南東","区道",7.2,"１種住居",60,300,"2021年第4四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","西小山",9,98000000,3300000,100,980000,"ほぼ長方形",7.5,"その他","西","区道",4.3,"準工業",60,300,"2021年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","西小山",11,53000000,3300000,55,1000000,"不整形",2.2,"住宅","東","区道",4,"準工業",60,300,"2021年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","西小山",7,76000000,4100000,60,1300000,"長方形",5.4,"住宅","南西","区道",5.2,"１種住居",60,300,"2021年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","旗の台",9,54000000,3200000,55,970000,"不整形",2.1,"住宅","北西","私道",4,"１種住居",60,300,"2021年第1四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","不動前",9,110000000,4200000,80,1300000,"ほぼ正方形",8.7,"住宅","南東","区道",4.4,"準工業",60,300,"2023年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","荏原","武蔵小山",8,33000000,2400000,45,730000,"長方形",5,"住宅","南西","私道",2.5,"準工業",60,300,"2022年第1四半期",""
"宅地(土地)","不動産取引価格情報","商業地","13109","東京都","品川区","荏原","武蔵小山",4,700000000,7600000,300,2300000,"不整形",26.4,"住宅","北西","区道",5.4,"商業",80,500,"2021年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大井町",13,210000000,2900000,230,890000,"ほぼ長方形",13.3,"住宅","南西","区道",3.4,"１中住専",60,200,"2023年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大井町",8,45000000,2500000,60,740000,"不整形",2.6,"住宅","北","区道",3.7,"近隣商業",80,300,"2022年第4四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大井町",8,92000000,2400000,125,730000,"不整形","","住宅","西","私道",4,"１種住居",60,200,"2022年第3四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大井町",8,50000000,1300000,125,400000,"不整形","","住宅","南","私道",4,"１種住居",60,200,"2021年第4四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大井町",2,22000000,1500000,50,440000,"ほぼ長方形",6.5,"住宅","南西","私道",2.1,"近隣商業",80,300,"2021年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大井町",7,20000000,1500000,45,460000,"不整形","","住宅","西","私道",4,"近隣商業",80,300,"2021年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大井町",9,59000000,2900000,65,880000,"ほぼ整形",10.9,"住宅","南","区道",2.8,"１種住居",60,200,"2021年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大井町",12,75000000,2900000,85,880000,"ほぼ正方形",9,"住宅","北","区道",3.9,"１中住専",60,200,"2021年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大井町",8,64000000,1600000,130,480000,"ほぼ整形","","住宅","西","私道",3.4,"１種住居",60,200,"2021年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","13109","東京都","品川区","大井","大森(東京)",11,74000000,2700000,90,830000,"ほぼ長方形",11.5,"住宅","南西","区道",5.9,"１低住専",60,150,"2022年第2四半期",""
