,district,walk_min_from_nearest_station,construction_area,construction_year,street_width,land_price_estimated,wood,south,west,east,north,price
55374,国分寺市,14,100,2023,5.4,45.5,True,False,True,False,True,75.0
55375,国分寺市,14,90,2022,4.0,51.4625,True,True,True,False,False,65.0
55376,国分寺市,12,105,2022,5.7,60.4125,False,True,False,True,False,88.0
55377,国分寺市,13,85,2021,6.0,55.83996,True,False,True,False,True,65.0
55378,国分寺市,9,85,2021,4.0,38.13337,True,True,False,True,False,68.0
55383,国分寺市,10,50,2022,4.0,15.9,True,True,True,False,False,41.0
55384,国分寺市,14,75,2022,4.0,32.25,True,False,True,False,True,48.0
55385,国分寺市,13,105,2022,5.4,48.6,True,False,True,False,True,71.0
55391,国分寺市,28,95,2023,8.0,40.625,True,True,False,False,False,49.0
55392,国分寺市,29,100,2021,6.5,45.06671,True,False,True,False,False,42.0
55397,国分寺市,21,95,2022,6.0,28.2,True,False,True,False,True,52.0
55399,国分寺市,23,100,2021,7.0,24.83,True,True,False,True,False,42.0
55401,国分寺市,7,75,2023,4.0,13.5,True,False,False,True,True,53.0
55402,国分寺市,7,75,2023,4.0,26.6,True,False,False,True,True,51.0
55404,国分寺市,9,100,2021,6.0,36.875,True,False,True,False,True,63.0
55408,国分寺市,9,100,2021,4.8,33.75,True,False,True,False,True,65.0
55409,国分寺市,10,100,2021,4.0,31.05,True,False,True,False,True,64.0
55410,国分寺市,10,100,2021,5.0,31.05,True,False,False,True,True,65.0
55411,国分寺市,10,100,2021,4.0,28.75,True,False,True,False,True,63.0
55412,国分寺市,9,100,2021,6.0,28.75,True,False,True,False,True,56.0
55413,国分寺市,8,100,2021,4.0,29.25,True,False,True,False,True,62.0
55414,国分寺市,8,100,2021,4.0,29.25,True,False,True,False,True,55.0
55416,国分寺市,10,80,2021,4.5,49.5,True,False,False,True,False,54.0
55417,国分寺市,4,100,2023,5.2,36.875,True,True,False,False,False,85.0
55418,国分寺市,5,100,2023,4.8,36.875,True,True,False,False,False,79.0
55419,国分寺市,10,75,2023,4.0,18.271635,True,False,False,True,False,59.0
55420,国分寺市,5,100,2023,18.0,20.194965,True,False,True,False,False,67.0
